,location,date,vaccine,total_vaccinations
0,Argentina,2020-12-29,Oxford/AstraZeneca,1
1,Argentina,2020-12-29,Sinopharm/Beijing,1
2,Argentina,2020-12-29,Sputnik V,20489
3,Argentina,2020-12-30,Sputnik V,40591
4,Argentina,2020-12-31,Sputnik V,43397
5,Argentina,2021-01-01,Oxford/AstraZeneca,3
6,Argentina,2021-01-01,Sputnik V,43523
7,Argentina,2021-01-02,Oxford/AstraZeneca,4
8,Argentina,2021-01-02,Pfizer/BioNTech,1
9,Argentina,2021-01-02,Sputnik V,46833
10,Argentina,2021-01-03,Pfizer/BioNTech,2
11,Argentina,2021-01-03,Sputnik V,47276
12,Argentina,2021-01-04,Sputnik V,57737
13,Argentina,2021-01-05,Sinopharm/Beijing,5
14,Argentina,2021-01-05,Sputnik V,68462
15,Argentina,2021-01-06,Oxford/AstraZeneca,5
16,Argentina,2021-01-06,Pfizer/BioNTech,3
17,Argentina,2021-01-06,Sinopharm/Beijing,8
18,Argentina,2021-01-06,Sputnik V,78570
19,Argentina,2021-01-07,Oxford/AstraZeneca,6
20,Argentina,2021-01-07,Pfizer/BioNTech,4
21,Argentina,2021-01-07,Sinopharm/Beijing,9
22,Argentina,2021-01-07,Sputnik V,96793
23,Argentina,2021-01-08,Sputnik V,124686
24,Argentina,2021-01-09,Pfizer/BioNTech,5
25,Argentina,2021-01-09,Sinopharm/Beijing,10
26,Argentina,2021-01-09,Sputnik V,134893
27,Argentina,2021-01-10,Pfizer/BioNTech,7
28,Argentina,2021-01-10,Sinopharm/Beijing,11
29,Argentina,2021-01-10,Sputnik V,136068
30,Argentina,2021-01-11,Oxford/AstraZeneca,7
31,Argentina,2021-01-11,Sinopharm/Beijing,13
32,Argentina,2021-01-11,Sputnik V,155891
33,Argentina,2021-01-12,Oxford/AstraZeneca,9
34,Argentina,2021-01-12,Pfizer/BioNTech,8
35,Argentina,2021-01-12,Sinopharm/Beijing,16
36,Argentina,2021-01-12,Sputnik V,175277
37,Argentina,2021-01-13,Moderna,1
38,Argentina,2021-01-13,Oxford/AstraZeneca,10
39,Argentina,2021-01-13,Sinopharm/Beijing,20
40,Argentina,2021-01-13,Sputnik V,192046
41,Argentina,2021-01-14,Pfizer/BioNTech,9
42,Argentina,2021-01-14,Sinopharm/Beijing,21
43,Argentina,2021-01-14,Sputnik V,208696
44,Argentina,2021-01-15,Sputnik V,226141
45,Argentina,2021-01-16,Sputnik V,232025
46,Argentina,2021-01-17,Sputnik V,233087
47,Argentina,2021-01-18,Pfizer/BioNTech,10
48,Argentina,2021-01-18,Sputnik V,242918
49,Argentina,2021-01-19,Sinopharm/Beijing,22
50,Argentina,2021-01-19,Sputnik V,256166
51,Argentina,2021-01-20,Sputnik V,275595
52,Argentina,2021-01-21,Oxford/AstraZeneca,15
53,Argentina,2021-01-21,Sinopharm/Beijing,24
54,Argentina,2021-01-21,Sputnik V,289709
55,Argentina,2021-01-22,Oxford/AstraZeneca,18
56,Argentina,2021-01-22,Sinopharm/Beijing,25
57,Argentina,2021-01-22,Sputnik V,298926
58,Argentina,2021-01-23,Oxford/AstraZeneca,23
59,Argentina,2021-01-23,Sputnik V,302866
60,Argentina,2021-01-24,Oxford/AstraZeneca,24
61,Argentina,2021-01-24,Sputnik V,303168
62,Argentina,2021-01-25,Oxford/AstraZeneca,32
63,Argentina,2021-01-25,Sputnik V,317375
64,Argentina,2021-01-26,Oxford/AstraZeneca,70
65,Argentina,2021-01-26,Sinopharm/Beijing,26
66,Argentina,2021-01-26,Sputnik V,330151
67,Argentina,2021-01-27,Oxford/AstraZeneca,72
68,Argentina,2021-01-27,Sputnik V,340259
69,Argentina,2021-01-28,Oxford/AstraZeneca,73
70,Argentina,2021-01-28,Sputnik V,356306
71,Argentina,2021-01-29,Oxford/AstraZeneca,74
72,Argentina,2021-01-29,Sputnik V,379809
73,Argentina,2021-01-30,Sputnik V,389123
74,Argentina,2021-01-31,Sinopharm/Beijing,27
75,Argentina,2021-01-31,Sputnik V,389746
76,Argentina,2021-02-01,Oxford/AstraZeneca,93
77,Argentina,2021-02-01,Sinopharm/Beijing,28
78,Argentina,2021-02-01,Sputnik V,409256
79,Argentina,2021-02-02,Oxford/AstraZeneca,126
80,Argentina,2021-02-02,Sputnik V,433101
81,Argentina,2021-02-03,Oxford/AstraZeneca,134
82,Argentina,2021-02-03,Sinopharm/Beijing,31
83,Argentina,2021-02-03,Sputnik V,459708
84,Argentina,2021-02-04,Oxford/AstraZeneca,139
85,Argentina,2021-02-04,Sinopharm/Beijing,54
86,Argentina,2021-02-04,Sputnik V,487820
87,Argentina,2021-02-05,CanSino,2
88,Argentina,2021-02-05,Oxford/AstraZeneca,144
89,Argentina,2021-02-05,Sinopharm/Beijing,61
90,Argentina,2021-02-05,Sputnik V,520852
91,Argentina,2021-02-06,Sinopharm/Beijing,65
